statNm,statId,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,chgerType,output,method,available_chargers,num_chargers,congestion_ratio,working_ratio,statUpdDt,lastTsdt,lastTedt,nowTsdt,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName
더반모텔,EZ001350,경상북도 포항시 남구 새천년대로434번길 16,주차장,주차장,24시간 이용가능,36.0135745,129.3463554,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,2,2,0.0,1.0,2025-05-15 05:00:14,2025-04-09 17:56:06,2025-04-09 20:56:07,,47,47110,E0,E003,Y,,N,,N,,N,2023,경상북도
호텔 얌,EZ001352,경상북도 포항시 남구 새천년대로450번길 3,주차장,주차장,24시간 이용가능,36.0156141,129.3462145,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,2,2,0.0,1.0,2025-05-15 05:00:14,2025-05-13 17:01:14,2025-05-14 04:32:45,,47,47110,E0,E003,Y,,N,,N,,N,2023,경상북도
엘리 모텔,EZ001357,경상북도 포항시 남구 오천읍 문덕로23번길 10,주차장,주차장,24시간 이용가능,35.9605619,129.4039667,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,2,2,0.0,1.0,2025-05-15 09:00:19,2025-05-08 23:41:32,2025-05-09 05:40:35,,47,47110,E0,E003,Y,,N,,N,,N,2023,경상북도
여기어때 문덕점,EZ001358,경상북도 포항시 남구 오천읍 문덕로37번길 4,주차장,주차장,24시간 이용가능,35.9591171,129.403521,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,2,2,0.0,1.0,2025-05-15 09:00:19,2025-05-01 21:03:42,2025-05-01 22:11:26,,47,47110,E0,E003,Y,,N,,N,,N,2023,경상북도
호텔 XYM,EZ001359,경상북도 포항시 남구 오천읍 문덕로37번길 3,주차장,주차장,24시간 이용가능,35.9594442,129.403491,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:19,2025-04-19 18:15:07,2025-04-20 02:45:15,,47,47110,E0,E003,Y,,N,,N,,N,2023,경상북도
굳타임 모텔,EZ001360,경상북도 포항시 남구 오천읍 하원로47번길 8-9,주차장,주차장,24시간 이용가능,35.9752855,129.4032886,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,0,1,1.0,0.0,,,,,47,47110,E0,E003,Y,,N,,N,,N,2023,경상북도
호텔 봄,EZ001363,경상북도 포항시 남구 희망대로659번길 27,주차장,주차장,24시간 이용가능,36.0130831,129.3468297,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:19,2025-05-10 21:11:44,2025-05-11 07:13:22,,47,47110,E0,E003,Y,,N,,N,,N,2023,경상북도
창포스카이골프랜드,EZ001366,경상북도 포항시 북구 새천년대로1173번길 15-99,주차장,주차장,24시간 이용가능,36.0728182,129.3675174,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:19,2024-07-11 16:40:55,2024-07-11 18:04:56,,47,47110,E0,E004,Y,,N,,N,,N,2023,경상북도
A1모텔,EZ001368,경상북도 포항시 북구 양학천로 199,주차장,주차장,24시간 이용가능,36.028448,129.3665185,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,0,2,1.0,0.0,2025-05-15 09:00:19,2024-11-04 20:29:41,2024-11-05 02:50:35,,47,47110,E0,E003,Y,,N,,N,,N,2023,경상북도
동경장,EZ001370,경상북도 포항시 북구 중흥로113번길 8-4,주차장,주차장,24시간 이용가능,36.0156696,129.3515522,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:19,2024-06-24 16:58:47,2024-06-24 23:47:42,,47,47110,E0,E003,Y,,N,,N,,N,2023,경상북도
베니스장 여관,EZ001374,경상북도 포항시 북구 흥해읍 신흥로 514,주차장,주차장,24시간 이용가능,36.1151808,129.2996154,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,0,2,1.0,0.0,2025-05-15 09:00:19,2024-01-30 11:08:43,2024-01-30 17:45:58,,47,47110,E0,E003,Y,,N,,N,,N,2023,경상북도
명림 장 여관,EZ001375,경상북도 포항시 북구 흥해읍 흥해로 26-9,주차장,주차장,24시간 이용가능,36.1082031,129.3460415,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,2,2,0.0,1.0,2025-05-15 09:00:19,2025-05-10 17:30:30,2025-05-11 00:22:52,,47,47110,E0,E003,Y,,N,,N,,N,2023,경상북도
태백 냉동 공사,EZ001381,대구광역시 동구 대림로 16,주차장,주차장,24시간 이용가능,35.8715616,128.7415093,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,2,2,0.0,1.0,2025-05-15 05:00:13,2025-05-11 22:37:22,2025-05-12 05:57:22,,27,27140,G0,G004,Y,,N,,N,,N,2023,대구광역시
힐 모텔,EZ001382,대구광역시 동구 동촌로11길 5-41,주차장,주차장,24시간 이용가능,35.8903647,128.6489638,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,0,2,1.0,0.0,2025-05-15 09:00:20,2024-08-04 17:51:27,2024-08-05 04:02:53,,27,27140,E0,E003,Y,,N,,N,,N,2023,대구광역시
앤 모텔,EZ001385,대구광역시 동구 파계로6길 29,주차장,주차장,24시간 이용가능,35.9398973,128.6398205,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,2,2,0.0,1.0,2025-05-15 05:00:13,2025-05-04 00:59:42,2025-05-04 06:59:43,,27,27140,E0,E003,Y,,N,,N,,N,2023,대구광역시
다해,EZ001386,대구광역시 동구 팔공로 195-1,주차장,주차장,24시간 이용가능,35.9161529,128.6405305,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,2,2,0.0,1.0,2025-05-15 05:00:13,2025-05-13 18:00:26,2025-05-13 21:07:09,,27,27140,E0,E006,Y,,N,,N,,N,2023,대구광역시
한일식품,EZ001388,대구광역시 북구 연암공원로10길 3-7,주차장,주차장,24시간 이용가능,35.894753,128.598966,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,0,2,1.0,0.0,2025-05-15 05:00:13,,,,27,27230,G0,G004,Y,,N,,N,,N,2023,대구광역시
성주 숯불 갈비,EZ001393,대구광역시 서구 평리로54길 3,주차장,주차장,24시간 이용가능,35.8626598,128.5536867,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 05:00:13,2025-05-12 22:48:14,2025-05-13 01:36:50,,27,27170,E0,E006,Y,,N,,N,,N,2023,대구광역시
현대장여관,EZ001394,대구광역시 서구 평리로62길 16,주차장,주차장,24시간 이용가능,35.8623503,128.5572185,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,0,2,1.0,0.0,2025-05-15 05:00:13,2023-05-12 12:14:40,2023-05-12 12:14:44,,27,27170,E0,E003,Y,,N,,N,,N,2023,대구광역시
녹양구이,EZ001396,대구광역시 수성구 무학로17길 21,주차장,주차장,24시간 이용가능,35.8303318,128.617658,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,2,2,0.0,1.0,2025-05-15 05:00:13,2025-04-25 14:11:47,2025-04-25 15:37:05,,27,27260,E0,E006,Y,,N,,N,,N,2023,대구광역시
아이 모텔,EZ001397,대구광역시 수성구 수성로 21,주차장,주차장,24시간 이용가능,35.8272711,128.6100011,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 05:00:13,2025-04-29 23:44:41,2025-04-30 01:59:49,,27,27260,E0,E003,Y,,N,,N,,N,2023,대구광역시
삼목원,EZ001409,울산광역시 울주군 상북면 화장산길 44,주차장,주차장,24시간 이용가능,35.5771002,129.1089639,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:19,,,,31,31710,I0,I002,Y,,N,,N,,N,2023,울산광역시
브라운도트호텔 울산학사점,EZ001412,울산광역시 중구 구역전2길 13,주차장,주차장,24시간 이용가능,35.5574404,129.3274129,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:19,2025-04-22 16:45:07,2025-04-22 19:29:17,,31,31110,E0,E003,Y,,N,,N,,N,2023,울산광역시
진주회관,EZ001419,경기도 가평군 조종면 청군로 1323,입간판 뒤,입간판 뒤,24시간 이용가능,37.8215867,127.3436432,EZ,차지인,차지인,1577-8961,2,7.0,단독,0,1,1.0,0.0,2025-05-15 05:00:13,2025-04-07 21:33:02,2025-04-08 03:30:01,,41,41820,E0,E006,N,,N,,N,,N,2022,경기도
포유쌀국수,EZ001443,경기도 양평군 용문면 용문산로 249,주차장,주차장,24시간 이용가능,37.5188354,127.5997653,EZ,차지인,차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 05:00:13,2025-05-12 08:48:58,2025-05-12 13:46:21,,41,41830,E0,E006,N,,N,,N,,N,2022,경기도
용문산닭갈비,EZ001444,경기도 양평군 용문면 용문산로 249,주차장,주차장,24시간 이용가능,37.5185971,127.5997989,EZ,차지인,차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 05:00:13,2025-05-12 11:53:01,2025-05-12 13:10:55,,41,41830,E0,E006,N,,N,,N,,N,2022,경기도
밀양똑똑풀빌라키즈독채펜션,EZ001446,경상남도 밀양시 단장면 고례3길 21,출입구 좌측 전봇대 앞,출입구 좌측 전봇대 앞,24시간 이용가능,35.4959594,128.9273841,EZ,차지인,차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 05:00:13,2023-07-01 14:51:37,2023-07-01 17:38:34,,48,48270,E0,E003,N,,N,,N,,N,2022,경상남도
곰소그린,EZ001448,경상남도 밀양시 단장면 표충로 593-12,건물 뒤 벽면,건물 뒤 벽면,24시간 이용가능,35.5300836,128.8862,EZ,차지인,차지인,1577-8961,2,7.0,단독,0,1,1.0,0.0,2025-05-15 05:20:13,2024-08-05 14:18:29,2024-08-06 03:18:29,,48,48270,E0,E003,N,,N,,N,,N,2022,경상남도
아로니아민박,EZ001450,충청북도 단양군 대강면 두음길 154,입구 주차장 좌측면,입구 주차장 좌측면,24시간 이용가능,36.9060723,128.3647586,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,2,2,0.0,1.0,2025-05-15 09:00:20,2025-05-06 19:38:30,2025-05-07 03:00:35,,43,43800,E0,E003,N,,N,,N,,N,2023,충청북도
돌담산장,EZ001459,충청북도 옥천군 군서면 장령산로 462,입구 좌측면,,24시간 이용가능,36.2500438,127.5502434,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,0,2,1.0,0.0,2025-05-15 09:00:20,2024-11-15 17:24:59,2024-11-16 06:25:00,,43,43730,E0,E003,Y,,N,,N,,N,2023,충청북도
솔향기펜션민박,EZ001461,충청북도 옥천군 군서면 장령산로 469,관리동 옆면,관리동 옆면,24시간 이용가능,36.2559766,127.5511245,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,0,1,1.0,0.0,2025-05-15 09:00:20,2024-09-15 22:19:44,2024-09-16 04:32:38,,43,43730,E0,E003,N,,N,,N,,N,2023,충청북도
이산흑염소,EZ001462,충청북도 옥천군 군서면 장령산로 287,주차장 입구 가장자리면,주차장 입구 가장자리면,24시간 이용가능,36.2585764,127.548154,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,0,1,1.0,0.0,2025-05-15 09:00:20,2024-09-14 14:42:20,2024-09-14 15:15:32,,43,43730,E0,E006,N,,N,,N,,N,2023,충청북도
늘보마을협의회,EZ001464,강원특별자치도 영월군 김삿갓면 옥동장터길 11,휴게 공간 앞면,휴게 공간 앞면,24시간 이용가능,37.1240625,128.568713,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2025-05-11 14:46:21,2025-05-11 19:38:34,,51,51750,G0,G004,N,,N,,N,,N,2023,강원특별자치도
옥산장돌과이야기,EZ001466,강원특별자치도 정선군 여량면 여량3길 79,입구 우측 전주 부근,입구 우측 전주 부근,24시간 이용가능,37.4731348,128.7264465,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2025-05-03 11:47:45,2025-05-03 12:38:17,,51,51770,E0,E006,N,,N,,N,,N,2023,강원특별자치도
청일관광농원,EZ001469,강원특별자치도 횡성군 청일면 속실길 20,건물 앞면,건물 앞면,24시간 이용가능,37.6405903,128.1586664,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2025-01-20 18:19:09,2025-01-20 19:26:02,,51,51730,G0,G004,N,,N,,N,,N,2023,강원특별자치도
꽃뜨루민박,EZ001470,강원특별자치도 횡성군 안흥면 실미송한길 24-81,건물 좌측면,건물 좌측면,24시간 이용가능,37.427904,128.1500027,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:19,2025-05-04 10:23:22,2025-05-04 10:40:33,,51,51730,E0,E003,Y,,N,,N,,N,2023,강원특별자치도
숙암식당,EZ001471,강원특별자치도 정선군 북평면 오대천로 566,전주 근처 입구 면,전주 근처 입구 면,24시간 이용가능,37.4697105,128.6195514,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2024-10-09 19:55:51,2024-10-10 02:37:57,,51,51770,E0,E006,N,,N,,N,,N,2023,강원특별자치도
어도원183,EZ001472,강원특별자치도 정선군 북평면 어도원길 183,전주 아래 주차면,전주 아래 주차면,24시간 이용가능,37.4382281,128.6235763,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2025-03-25 09:16:37,2025-03-25 15:08:35,,51,51770,E0,E003,N,,N,,N,,N,2023,강원특별자치도
파밀리에 승마장,EZ001473,경기도 이천시 설성면 설성로181번길 30,실외 주차장,실외 주차장,24시간 이용가능,37.1461017,127.5296707,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,0,1,1.0,0.0,2025-05-15 09:00:20,2023-06-06 18:39:25,2023-06-06 18:49:16,,41,41500,G0,G004,N,,N,,N,,N,2023,경기도
대성식품팔도맛김치,EZ001474,대전광역시 대덕구 문평동로 39,건물앞 주차면,건물앞 주차면,24시간 이용가능,36.4469751,127.4010332,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,2,0.5,0.5,2025-05-15 09:00:20,2025-05-13 09:50:41,2025-05-13 16:55:44,,30,30230,G0,G004,N,,N,,N,,N,2023,대전광역시
본가드리오리,EZ001475,대전광역시 서구 신갈마로 57,주차라인면,주차라인면,24시간 이용가능,36.3393566,127.3662694,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2025-05-11 18:42:41,2025-05-11 19:36:27,,30,30170,E0,E006,N,,N,,N,,N,2023,대전광역시
우리들캠핑장,EZ001480,강원특별자치도 양양군 현북면 법수치길 1168-2,건물 우측면,건물 우측면,24시간 이용가능,37.8969487,128.614676,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2025-05-04 16:34:03,2025-05-04 22:22:24,,51,51830,G0,G002,N,,N,,N,,N,2023,강원특별자치도
현참조은노인주야간보호센터,EZ001487,경기도 하남시 산곡동로 85,건물 좌측 전주 근처면,건물 좌측 전주 근처면,24시간 이용가능,37.5106018,127.2283357,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2025-05-03 22:32:40,2025-05-04 01:13:22,,41,41450,I0,I006,N,,N,,N,,N,2023,경기도
푸른우리교회,EZ001488,경기도 광주시 태봉로42번길 21,비전센처 입구 우측 주차면,비전센처 입구 우측 주차면,24시간 이용가능,37.3904177,127.2277263,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2023-10-05 19:43:46,2023-10-06 00:25:00,,41,41610,I0,I002,N,,N,,N,,N,2023,경기도
진부촌,EZ001489,경기도 의왕시 청계로 249,입구 전주 근처 주차면,입구 전주 근처 주차면,24시간 이용가능,37.4050637,127.0149217,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2025-03-26 20:29:44,2025-03-26 22:51:09,,41,41430,E0,E006,N,,N,,N,,N,2023,경기도
여름까페펜션,EZ001491,충청북도 괴산군 청천면 송문로 65,건물 좌측 주차면 근처,건물 좌측 주차면 근처,24시간 이용가능,36.6771689,127.8610566,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,0,1,1.0,0.0,2025-05-15 09:00:20,2024-09-14 16:31:03,2024-09-14 19:45:29,,43,43760,E0,E003,N,,N,,N,,N,2023,충청북도
애림흑판사,EZ001495,대전광역시 동구 대전로 610-2,공장 안쪽 전주 근처면,공장 안쪽 전주 근처면,24시간 이용가능,36.3153263,127.4409853,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,0,1,1.0,0.0,2025-05-15 09:00:20,2024-08-06 14:50:22,2024-08-06 17:02:37,,30,30110,G0,G004,N,,N,,N,,N,2023,대전광역시
쌍곡330,EZ001498,충청북도 괴산군 칠성면 쌍곡로 330,건물 좌측 주차면,건물 좌측 주차면,24시간 이용가능,36.7596328,127.8952966,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,0,1,1.0,0.0,2025-05-15 09:00:20,2024-11-18 07:59:51,2024-11-18 09:47:54,,43,43760,E0,E003,Y,,N,,N,,N,2023,충청북도
해산관광농원펜션,EZ001499,강원특별자치도 화천군 화천읍 호음로 473,공원내 중앙 정자 근처면,공원내 중앙 정자 근처면,24시간 이용가능,38.1522376,127.7810782,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2025-05-03 18:16:40,2025-05-04 00:11:55,,51,51790,E0,E003,Y,,N,,N,,N,2023,강원특별자치도
콜펜션,EZ001500,강원특별자치도 화천군 화천읍 한묵령로 149,주차장 공중전화 부스 앞면,주차장 공중전화 부스 앞면,24시간 이용가능,38.1759889,127.7490759,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,0,1,1.0,0.0,2025-05-15 09:00:20,2025-01-28 12:35:02,2025-01-28 16:10:09,,51,51790,E0,E003,Y,,N,,N,,N,2023,강원특별자치도
별곰캠핑힐,EZ001506,경상남도 하동군 청암면 사동길 2,주차장 우측,주차장 우측,24시간 이용가능,35.1812554,127.7545648,EZ,차지인,(주)차지인,15778961,2,7.0,단독,0,1,1.0,0.0,2025-05-15 09:00:20,2024-08-02 08:43:10,2024-08-02 10:35:04,,48,48850,E0,E003,N,,N,,N,,N,2023,경상남도
산내자연캠프,EZ001508,경상북도 경주시 산내면 대현동골길 80-19,출입구 우측전봇대있는곳담벼락앞,출입구 우측전봇대있는곳담벼락앞,24시간 이용가능,35.6927008,129.0581193,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2025-04-05 12:19:01,2025-04-05 17:57:44,,47,47130,E0,E003,Y,,N,,N,,N,2023,경상북도
신전원일기,EZ001509,경상북도 경주시 산내면 문복로 592,출입구 제일 끝 주차공간,출입구 제일 끝 주차공간,24시간 이용가능,35.6854501,129.0503699,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2025-05-04 16:57:21,2025-05-04 18:14:16,,47,47130,E0,E003,Y,,N,,N,,N,2023,경상북도
예담노인요양센터,EZ001510,경상북도 경주시 안강읍 호계길 3-11,출입구 우측 전봇대앞,출입구 우측 전봇대앞,24시간 이용가능,36.0050569,129.192722,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2024-09-26 18:12:30,2024-09-26 18:23:17,,47,47130,G0,G004,Y,,N,,N,,N,2023,경상북도
월계수산장가든,EZ001512,경상북도 경주시 산내면 문복로 758,방갈로a-1전봇대앞,방갈로a-1전봇대앞,24시간 이용가능,35.6970579,129.057828,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2024-03-30 13:20:32,2024-03-30 18:18:18,,47,47130,E0,E003,Y,,N,,N,,N,2023,경상북도
트윈빌리지,EZ001513,경상북도 경주시 천군1길 24-9,출입구 좌측 전봇대앞,출입구 좌측 전봇대앞,24시간 이용가능,35.8322529,129.2767937,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2025-04-16 19:23:35,2025-04-17 01:04:06,,47,47130,E0,E003,N,,N,,N,,N,2023,경상북도
하늘호수,EZ001515,경상북도 경주시 보불로 174-29,출입구 좌측 태양광 앞,출입구 좌측 태양광 앞,24시간 이용가능,35.8008174,129.3155074,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2025-05-10 20:56:06,2025-05-11 04:17:40,,47,47130,E0,E003,N,,N,,N,,N,2023,경상북도
호플리,EZ001518,경상북도 경주시 장매길 142,출입구 우측,출입구 우측,24시간 이용가능,35.8169431,129.1930126,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2025-03-30 22:22:43,2025-03-31 01:45:36,,47,47130,E0,E003,N,,N,,N,,N,2023,경상북도
호텔프라하,EZ001524,전라남도 완도군 완도읍 장보고대로 330-4,출입구 좌측 전봇대 바로옆,출입구 좌측 전봇대 바로옆,24시간 이용가능,34.3118294,126.7645011,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,0,1,1.0,0.0,2025-05-15 09:00:21,2023-09-28 13:51:57,2023-09-28 18:01:05,,46,46890,E0,E003,N,,N,,N,,N,2023,전라남도
리하우스펜션,EZ001526,전라남도 완도군 신지면 명사십리61번길 105,,건물좌측 주차장 전봇대 앞,24시간 이용가능,34.3302515,126.818224,EZ,차지인,(주)차지인,15778961,2,7.0,단독,0,1,1.0,0.0,2025-05-15 09:00:20,2024-09-15 06:21:36,2024-09-15 09:50:09,,46,46890,E0,E003,N,,N,,N,,N,2023,전라남도
킹모텔,EZ001527,경상남도 통영시 동충2길 22-5,,안내실 출입구 맞은편 기둥,24시간 이용가능,34.840251,128.4230732,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2025-04-26 18:30:08,2025-04-26 21:34:47,,48,48220,E0,E003,N,,N,,N,,N,2023,경상남도
주식회사비앤비,EZ001530,경상북도 안동시 대안로 29,주차장 우측입구,주차장 우측입구,24시간 이용가능,36.5654942,128.7159151,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2025-05-03 21:49:16,2025-05-03 22:38:51,,47,47170,E0,E003,N,,N,,N,,N,2023,경상북도
주식회사한별,EZ001532,경상남도 함안군 법수면 이묵골로 135,주차장 우측 휀스쪽,주차장 우측 휀스쪽,24시간 이용가능,35.3345623,128.3603837,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,0,1,1.0,0.0,2025-05-15 09:00:21,,,,48,48730,G0,G004,N,,N,,N,,N,2023,경상남도
해밀터펜션,EZ001538,경상북도 경주시 북군4길 34-2,출입구우측 물통 측면 벽,출입구우측 물통 측면 벽,24시간 이용가능,35.8578927,129.2573352,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2025-05-03 21:09:22,2025-05-04 07:54:11,,47,47130,E0,E003,N,,N,,N,,N,2023,경상북도
오케이목장가든,EZ001550,전라남도 화순군 화순읍 안양산로 72,건물우측끝,건물우측끝,24시간 이용가능,35.0705738,126.999455,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2025-05-10 16:45:03,2025-05-10 18:27:53,,46,46790,E0,E006,N,,N,,N,,N,2023,전라남도
저녁노을,EZ001553,전라남도 화순군 화순읍 안양산로 68,주차장 좌측안쪽 화단앞기둥,주차장 좌측안쪽 화단앞기둥,24시간 이용가능,35.0704608,126.9990483,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:21,,,,46,46790,E0,E006,N,,N,,N,,N,2024,전라남도
한상근대통밥집,EZ001560,전라남도 담양군 월산면 담장로 113,옥외주차장 좌측,옥외주차장 좌측,24시간 이용가능,35.3337462,126.9645785,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,0,1,1.0,0.0,2025-05-15 09:00:20,2025-04-13 17:41:31,2025-04-13 18:15:36,,46,46710,E0,E006,N,,N,,N,,N,2023,전라남도
함박가든,EZ001561,전라남도 곡성군 곡성읍 곡성로 805,,주차장끝쪽,24시간 이용가능,35.2779572,127.2922936,EZ,차지인,(주)차지인,15778961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2023-07-26 09:31:03,2023-07-26 16:47:30,,46,46720,E0,E006,N,,N,,N,,N,2023,전라남도
새길동산,EZ001563,경상남도 함안군 대산면 옥렬로 147,본관에어컨실외기옆,본관에어컨실외기옆,24시간 이용가능,35.3199147,128.4054498,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2025-03-22 18:10:14,2025-03-23 00:45:45,,48,48730,I0,I006,N,,N,,N,,N,2023,경상남도
북창원한빛교회,EZ001566,경상남도 창원시 의창구 북면 동전로224번길 10,1층 주차장 기둥,1층 주차장 기둥,24시간 이용가능,35.3144254,128.6000847,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:19,2025-05-13 21:29:34,2025-05-14 03:34:34,,48,48120,I0,I002,Y,,N,,N,,N,2023,경상남도
라온제나민박,EZ001568,경상남도 밀양시 단장면 아불1길 10,우측 큰 창문쪽,우측 큰 창문쪽,24시간 이용가능,35.5214225,128.9076714,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,,,,48,48270,E0,E003,N,,N,,N,,N,2023,경상남도
펜션미르,EZ001569,경상남도 밀양시 산외면 밀양대로 3381,건물뒤 잔디밭,건물뒤 잔디밭,24시간 이용가능,35.5273182,128.8153272,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2025-05-04 16:29:11,2025-05-04 18:49:13,,48,48270,E0,E003,N,,N,,N,,N,2023,경상남도
바람의기억,EZ001570,경상남도 밀양시 상동면 고답로 175,출입구 우측 휀스 앞,출입구 우측 휀스 앞,24시간 이용가능,35.5640887,128.8069817,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2024-09-24 17:44:31,2024-09-24 17:52:29,,48,48270,E0,E003,N,,N,,N,,N,2023,경상남도
정각산벨리펜션,EZ001573,경상남도 밀양시 단장면 구천1길 41,건물 우측 계단 쪽,건물 우측 계단 쪽,24시간 이용가능,35.5422069,128.9224365,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:20,2023-08-18 19:28:14,2023-08-18 23:01:36,,48,48270,E0,E003,N,,N,,N,,N,2023,경상남도
타임9000,EZ001574,경상남도 밀양시 단장면 도래재로 311,출입구 우측 분리수거장 옆,,24시간 이용가능,35.5482421,128.9336687,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,0,1,1.0,0.0,2025-05-15 09:00:20,2023-07-22 17:31:08,2023-07-22 20:23:39,,48,48270,E0,E003,Y,,N,,N,,N,2023,경상남도
