no,StatId,ChargerId,StartDate,EndDate,Note,EvChargerUseStampId,statNm,chgerType,addr,location,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,eci_note,limitYn,limitDetail,delYn,delDetail,Available,LatNumber,LngNumber,AverageRating,AverageCharingSpeed
1610246,ME18A001,5,2024-12-31 16:36,2024-12-31 17:19,NULL,1602408,은하수공원,4,"세종특별자치시 연기면 정안세종로 1527 은하수공원, 화장시설 주차장",NULL,36.532123,127.245097,24시간 이용가능,ME,환경부,환경부,031-994-6115 ,2,2.02501E+13,2.02501E+13,2.02501E+13,NULL,NULL,100,동시,36,36110,A0,A004,Y,NULL,N,NULL,N,NULL,YES,36.5321,127.245,0,0
1610245,ME18A001,3,2024-12-31 16:48,2024-12-31 17:07,NULL,1602407,은하수공원,4,"세종특별자치시 연기면 정안세종로 1527 은하수공원, 화장시설 주차장",NULL,36.532123,127.245097,24시간 이용가능,ME,환경부,환경부,031-994-6115 ,2,2.02501E+13,2.02501E+13,2.02501E+13,NULL,NULL,100,동시,36,36110,A0,A004,Y,NULL,N,NULL,N,NULL,YES,36.5321,127.245,0,0
1610244,ME18A001,1,2024-12-31 17:26,2024-12-31 17:45,NULL,1602406,은하수공원,6,"세종특별자치시 연기면 정안세종로 1527 은하수공원, 화장시설 주차장",NULL,36.532123,127.245097,24시간 이용가능,ME,환경부,환경부,031-994-6115 ,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,50,단독,36,36110,A0,A004,Y,NULL,N,NULL,N,NULL,YES,36.5321,127.245,0,0
1609816,PW013712,6,2024-12-31 12:06,2024-12-31 16:55,NULL,1601958,호려울마을8단지입주자대표회의22,2,세종특별자치시 보람동로 14,NULL,36.47755115,127.2962395,24시간 이용가능,PW,파워큐브,파워큐브,1833-8017,2,2.02412E+13,2.02412E+13,2.02412E+13,NULL,NULL,7,단독,36,36110,H0,H001,Y,NULL,Y,거주자외 출입제한,N,NULL,YES,36.4776,127.296,0,0
1609815,PW013386,3,2024-12-31 16:17,2024-12-31 16:56,NULL,1601957,첫마을6단지아파트 입주자대표회의,2,세종특별자치시 누리로 27,NULL,36.47575837,127.2515222,24시간 이용가능,PW,파워큐브,파워큐브코리아,1833-8017,3,2.02412E+13,2.02412E+13,2.02412E+13,2.02412E+13,NULL,7,단독,36,36110,H0,H001,Y,NULL,Y,거주자외 출입제한,N,NULL,YES,36.4758,127.252,0,0
1609814,PI711916,14,2024-12-31 16:50,2024-12-31 16:50,NULL,1601954,가온마을6단지,2,세종특별자치시 다정중앙로 77,NULL,36.4978774,127.2483213,24시간 이용가능,PI,차지비,GS차지비,1600-4047,2,2.02501E+13,2.02501E+13,2.02501E+13,NULL,NULL,7,단독,36,36110,H0,H001,Y,NULL,Y,거주자외 출입제한,N,NULL,YES,36.4979,127.248,0,0
1609813,IN044006,1,2024-12-31 16:53,2024-12-31 17:01,NULL,1601953,이마트세종점E,2,세종특별자치시 금송로 687,NULL,36.4709,127.2512,24시간 이용가능,IN,신세계아이앤씨,신세계아이앤씨,1899-7495,2,2.02412E+13,2.02412E+13,2.02412E+13,NULL,NULL,7,단독,36,36110,E0,E001,N,NULL,N,NULL,N,NULL,YES,36.4709,127.251,0,0
1609812,HW001073,23,2024-12-31 16:01,2024-12-31 16:31,NULL,1601952,세종 누리동 공영버스 차고지,13,세종특별자치시 갈매로 1008,NULL,36.5269156,127.2969391,00:00 ~ 23:59,HW,한화솔루션,한화솔루션,1533-3464,2,2.02412E+13,2.02412E+13,2.02412E+13,NULL,NULL,120,동시,36,36110,H0,H001,N,NULL,Y,입주민 전용,N,NULL,YES,36.5269,127.297,0,0
1609811,HW001073,7,2024-12-31 16:20,2024-12-31 16:58,NULL,1601951,세종 누리동 공영버스 차고지,13,세종특별자치시 갈매로 1008,NULL,36.5269156,127.2969391,00:00 ~ 23:59,HW,한화솔루션,한화솔루션,1533-3464,2,2.02501E+13,2.02501E+13,2.02501E+13,NULL,NULL,120,동시,36,36110,H0,H001,N,NULL,Y,입주민 전용,N,NULL,YES,36.5269,127.297,0,0
1609810,EV007192,2,2024-12-30 21:57,2024-12-31 8:45,NULL,1601950,세종 호려울마을2단지3,2,세종특별자치시 보람1길 12,NULL,36.4755562,127.2838056,24시간 이용가능,EV,에버온,에버온,1661-7766,2,2.02412E+13,2.02412E+13,2.02412E+13,NULL,NULL,7,단독,36,36110,H0,H001,Y,외부인 사용불가,Y,외부인 사용불가,N,NULL,YES,36.4756,127.284,0,0
1609809,ME21C292,22,2024-12-31 16:35,2024-12-31 16:58,NULL,1601949,금암리마을회관주차장,4,세종특별자치시 장군면 정자말길 6,NULL,36.4382234,127.2205358,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,200,동시,36,36110,A0,A004,Y,NULL,N,NULL,N,NULL,YES,36.4382,127.221,0,0
1609808,ME19F403,1,2024-12-31 15:57,2024-12-31 16:30,NULL,1601948,세종중앙공원주차장2,4,세종특별자치시 연기면 수목원로 136,NULL,36.49897513,127.2831925,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,100,단독,36,36110,B0,B002,Y,NULL,N,NULL,N,NULL,YES,36.499,127.283,0,0
1609807,ME18A402,12,2024-12-31 16:45,2024-12-31 17:00,NULL,1601947,보람동 수변공원,4,세종특별자치시 보람동 624-1,NULL,36.481974,127.290825,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,200,동시,36,36110,D0,D001,Y,NULL,N,NULL,N,NULL,YES,36.482,127.291,0,0
1609806,ME18A215,11,2024-12-31 15:08,2024-12-31 15:51,NULL,1601946,LH 세종본부,4,세종특별자치시 가름로 238-1,NULL,36.494692,127.26536,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,200,동시,36,36110,H0,H003,Y,NULL,N,NULL,N,NULL,YES,36.4947,127.265,0,0
1609805,ME18A214,11,2024-12-31 16:27,2024-12-31 16:58,NULL,1601945,원수산 아래 BMX경기장,4,세종특별자치시 연기면 세종리 659-30,NULL,36.522604,127.267463,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,200,동시,36,36110,J0,J007,Y,NULL,N,NULL,N,NULL,YES,36.5226,127.267,0,0
1608099,PW000369,2,2024-12-29 18:49,2024-12-30 4:35,NULL,1600227,세경건설㈜가재마을6단지초록지붕세경,2,세종특별자치시 달빛1로 74,NULL,36.505847,127.245895,24시간 이용가능,PW,파워큐브,파워큐브,1833-8017,2,2.02412E+13,2.02412E+13,2.02412E+13,NULL,NULL,7,단독,36,36110,H0,H001,Y,NULL,Y,거주자외 출입제한,N,NULL,YES,36.5058,127.246,0,0
1608098,PI645029,1,2024-12-31 15:57,2024-12-31 15:57,NULL,1600226,BMW 차징스테이션 세종에머슨CC,2,세종특별자치시 전의면 운주산로 1510,NULL,36.6969492,127.1853328,24시간 이용가능,PI,GS차지비,GS차지비,1600-4047,2,2.02412E+13,2.02412E+13,2.02412E+13,NULL,NULL,7,단독,36,36110,E0,E004,Y,NULL,N,NULL,N,NULL,YES,36.6969,127.185,0,0
1608097,KP004577,1,2024-12-31 15:22,2024-12-31 16:01,NULL,1600225,세종호수공원제1주차장,4,세종특별자치시 다솜로 216,NULL,36.4918,127.2689,24시간 이용가능,KP,한국전력공사,한국전력,1899-2100,2,2.02412E+13,2.02412E+13,2.02412E+13,NULL,NULL,100,단독,36,36110,B0,B001,Y,NULL,N,NULL,N,NULL,YES,36.4918,127.269,0,0
1608096,EV016195,1,2024-12-31 10:48,2024-12-31 15:56,NULL,1600224,세종 새뜸마을10단지아파트 4,2,"세종특별자치시 새롬중앙로 90 (새롬동, 새뜸마을10단지)",NULL,36.4885913,127.2511264,24시간 이용가능,EV,에버온,에버온,1661-7766,2,2.02501E+13,2.02412E+13,2.02501E+13,NULL,NULL,7,단독,36,36110,H0,H001,N,NULL,Y,외부인 사용불가,N,NULL,YES,36.4886,127.251,0,0
1608095,EV000736,2,2024-12-31 13:53,2024-12-31 16:01,NULL,1600223,세종시 호려울마을1단지 1,2,"세종특별자치시 남세종로 503 (보람동, 호려울마을1단지)",NULL,36.47464684,127.2855823,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,에버온,1661-7766,2,2.02412E+13,2.02412E+13,2.02412E+13,NULL,NULL,NULL,NULL,36,36000,H0,H001,Y,입주민만 사용가능 거주자외 출입제한,N,NULL,N,NULL,YES,36.4746,127.286,0,0
1608094,BNBN0321,1,2024-12-31 10:01,2024-12-31 10:14,NULL,1600222,반곡동 광역복지지원센터,4,세종특별자치시 시청대로 566,NULL,36.496515,127.318523,24시간 이용가능,BN,블루네트웍스,블루네트웍스,1833-9131,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,50,동시,36,36110,A0,A002,N,NULL,N,시설 상황에 따라 이용이 제한될 수 있음,N,NULL,YES,36.4965,127.319,0,0
1608093,ME22D169,1,2024-12-31 15:47,2024-12-31 15:58,NULL,1600221,조치원지구대,4,세종특별자치시 조치원읍 새내로 140,NULL,36.6043732,127.2978962,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,100,단독,36,36110,I0,I004,Y,NULL,N,NULL,N,NULL,YES,36.6044,127.298,0,0
1608092,ME21C292,22,2024-12-31 14:37,2024-12-31 15:08,NULL,1600220,금암리마을회관주차장,4,세종특별자치시 장군면 정자말길 6,NULL,36.4382234,127.2205358,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,200,동시,36,36110,A0,A004,Y,NULL,N,NULL,N,NULL,YES,36.4382,127.221,0,0
1608091,ME21B248,1,2024-12-31 9:35,2024-12-31 10:00,NULL,1600219,세종전통시장주차타워,4,세종특별자치시 조치원읍 조치원6길 38 ,NULL,36.5997329,127.2995657,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,100,단독,36,36110,B0,B004,N,NULL,N,NULL,N,NULL,NO,36.5997,127.3,0,0
1608090,ME20B211,22,2024-12-31 11:01,2024-12-31 11:37,NULL,1600218,명학일반산업단지 관리사무소,4,세종특별자치시 연동면 응암리 916,NULL,36.5412012,127.3364791,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,200,동시,36,36110,B0,B001,Y,NULL,N,NULL,N,NULL,YES,36.5412,127.336,0,0
1608089,ME20B211,21,2024-12-31 10:02,2024-12-31 10:22,NULL,1600217,명학일반산업단지 관리사무소,4,세종특별자치시 연동면 응암리 916,NULL,36.5412012,127.3364791,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,200,동시,36,36110,B0,B001,Y,NULL,N,NULL,N,NULL,YES,36.5412,127.336,0,0
1608088,ME20B113,1,2024-12-31 11:32,2024-12-31 12:08,NULL,1600216,명학일반산업단지 근린공원 주차장,4,세종특별자치시 연동면 내판리 713,NULL,36.5443208,127.3298195,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02501E+13,2.02501E+13,NULL,NULL,100,단독,36,36110,B0,B002,Y,NULL,N,NULL,N,NULL,YES,36.5443,127.33,0,0
1608087,ME19E508,1,2024-12-31 13:47,2024-12-31 14:26,NULL,1600215,정부세종청사 농림축산식품부/해양수산부,4,세종특별자치시 다솜2로 94(어진동),NULL,36.505377,127.26534,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,100,단독,36,36110,A0,A001,Y,NULL,N,NULL,N,NULL,YES,36.5054,127.265,0,0
1608086,ME18A516,1,2024-12-31 13:11,2024-12-31 13:54,NULL,1600214,세종정부청사 6동,6,세종특별자치시 도움6로 11,NULL,36.505094,127.262988,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,100,단독,36,36110,A0,A003,Y,NULL,N,NULL,N,NULL,YES,36.5051,127.263,0,0
1608085,ME18A514,1,2024-12-31 15:35,2024-12-31 16:01,NULL,1600213,새롬동 복합커뮤니티 센터,6,세종특별자치시 새롬동 341-72,NULL,36.485399,127.251677,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02501E+13,2.02501E+13,NULL,NULL,100,단독,36,36110,A0,A002,Y,NULL,N,NULL,N,NULL,YES,36.4854,127.252,0,0
1608084,ME18A402,14,2024-12-31 14:36,2024-12-31 15:00,NULL,1600212,보람동 수변공원,4,세종특별자치시 보람동 624-1,NULL,36.481974,127.290825,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02501E+13,2.02501E+13,NULL,NULL,200,동시,36,36110,D0,D001,Y,NULL,N,NULL,N,NULL,YES,36.482,127.291,0,0
1608083,ME18A402,13,2024-12-31 14:17,2024-12-31 14:34,NULL,1600211,보람동 수변공원,4,세종특별자치시 보람동 624-1,NULL,36.481974,127.290825,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,200,동시,36,36110,D0,D001,Y,NULL,N,NULL,N,NULL,YES,36.482,127.291,0,0
1608082,ME18A216,11,2024-12-31 13:18,2024-12-31 13:43,NULL,1600210,반곡동 수변공원,4,세종특별자치시 반곡동 234-10 ,NULL,36.492237,127.299546,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,200,동시,36,36110,D0,D001,Y,NULL,N,NULL,N,NULL,YES,36.4922,127.3,0,0
1608081,ME18A215,12,2024-12-31 11:19,2024-12-31 11:58,NULL,1600209,LH 세종본부,4,세종특별자치시 가름로 238-1,NULL,36.494692,127.26536,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,200,동시,36,36110,H0,H003,Y,NULL,N,NULL,N,NULL,YES,36.4947,127.265,0,0
1608080,ME18A214,12,2024-12-31 15:41,2024-12-31 16:02,NULL,1600208,원수산 아래 BMX경기장,4,세종특별자치시 연기면 세종리 659-30,NULL,36.522604,127.267463,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02501E+13,2.02501E+13,NULL,NULL,200,동시,36,36110,J0,J007,Y,NULL,N,NULL,N,NULL,YES,36.5226,127.267,0,0
1608079,ME18A214,11,2024-12-31 15:30,2024-12-31 15:47,NULL,1600207,원수산 아래 BMX경기장,4,세종특별자치시 연기면 세종리 659-30,NULL,36.522604,127.267463,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,200,동시,36,36110,J0,J007,Y,NULL,N,NULL,N,NULL,YES,36.5226,127.267,0,0
1608078,ME18A001,5,2024-12-31 12:25,2024-12-31 13:08,NULL,1600206,은하수공원,4,"세종특별자치시 연기면 정안세종로 1527 은하수공원, 화장시설 주차장",NULL,36.532123,127.245097,24시간 이용가능,ME,환경부,환경부,031-994-6115 ,2,2.02501E+13,2.02501E+13,2.02501E+13,NULL,NULL,100,동시,36,36110,A0,A004,Y,NULL,N,NULL,N,NULL,YES,36.5321,127.245,0,0
1608077,ME18A001,3,2024-12-31 15:16,2024-12-31 16:00,NULL,1600205,은하수공원,4,"세종특별자치시 연기면 정안세종로 1527 은하수공원, 화장시설 주차장",NULL,36.532123,127.245097,24시간 이용가능,ME,환경부,환경부,031-994-6115 ,2,2.02501E+13,2.02501E+13,2.02501E+13,NULL,NULL,100,동시,36,36110,A0,A004,Y,NULL,N,NULL,N,NULL,YES,36.5321,127.245,0,0
1608076,ME18A001,1,2024-12-31 12:52,2024-12-31 13:35,NULL,1600204,은하수공원,6,"세종특별자치시 연기면 정안세종로 1527 은하수공원, 화장시설 주차장",NULL,36.532123,127.245097,24시간 이용가능,ME,환경부,환경부,031-994-6115 ,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,50,단독,36,36110,A0,A004,Y,NULL,N,NULL,N,NULL,YES,36.5321,127.245,0,0
1608075,ME183162,52,2024-12-31 13:40,2024-12-31 14:23,NULL,1600203,세종호수공원제2주차장,4,"세종특별자치시 어진동 621, 입구 우측",NULL,36.5002765,127.2691866,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02501E+13,2.02501E+13,NULL,NULL,100,동시,36,36110,B0,B001,Y,NULL,N,NULL,N,NULL,YES,36.5003,127.269,0,0
1604818,PW100621,1,2024-12-30 16:38,2024-12-30 23:38,NULL,1596926,새뜸마을13단지아파트 입주자대표회의,2,세종특별자치시 새롬로 32,NULL,36.48722503,127.255615,24시간 이용가능,PW,파워큐브,파워큐브,1833-8017,3,2.02412E+13,2.02412E+13,2.02412E+13,2.02412E+13,NULL,7,단독,36,36110,H0,H001,Y,NULL,Y,거주자외 출입제한,N,NULL,YES,36.4872,127.256,0,0
1604817,PW014373,18,2024-12-30 17:22,2024-12-30 19:22,NULL,1596925,가재마을7단지입주자대표회의23,2,세종특별자치시 달빛로 77,NULL,36.50555668,127.2484212,24시간 이용가능,PW,파워큐브,파워큐브,1833-8017,3,2.02412E+13,2.02412E+13,2.02412E+13,2.02412E+13,NULL,7,단독,36,36110,H0,H001,Y,NULL,Y,거주자외 출입제한,N,NULL,YES,36.5056,127.248,0,0
1604816,PW013622,4,2024-12-30 14:42,2024-12-30 18:57,NULL,1596924,첫마을5단지아파트 입주자대표회의,2,세종특별자치시 누리로 59,NULL,36.47516087,127.2490457,24시간 이용가능,PW,파워큐브,파워큐브,1833-8017,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,7,단독,36,36110,H0,H001,Y,NULL,Y,거주자외 출입제한,N,NULL,YES,36.4752,127.249,0,0
1604815,PW012787,1,2024-12-30 23:33,2024-12-31 0:33,NULL,1596923,범지기마을11단지아파트 입주자대표회의,2,세종특별자치시 보듬3로 73,NULL,36.51116829,127.2516749,24시간 이용가능,PW,파워큐브,파워큐브,1833-8017,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,NULL,단독,36,36110,H0,H001,Y,NULL,Y,거주자외 출입제한,N,NULL,YES,36.5112,127.252,0,0
1604814,PW012463,2,2024-12-30 17:24,2024-12-30 19:40,NULL,1596922,죽림푸르지오아파트입주자대표회의,2,세종특별자치시 조치원읍 죽림본로 33-6,NULL,36.59101683,127.294804,24시간 이용가능,PW,파워큐브,파워큐브,1833-8017,3,2.02412E+13,2.02412E+13,2.02412E+13,2.02412E+13,NULL,NULL,NULL,36,36110,H0,H001,Y,NULL,Y,거주자외 출입제한,N,NULL,YES,36.591,127.295,0,0
1604813,PW011570,5,2024-12-30 18:48,2024-12-31 4:04,NULL,1596921,새샘마을9단지아파트입주자대표회의,2,세종특별자치시 국책연구원1로 15,NULL,36.49101153,127.2997513,24시간 이용가능,PW,파워큐브,파워큐브,1833-8017,3,2.02412E+13,2.02412E+13,2.02412E+13,2.02412E+13,NULL,NULL,NULL,36,36000,H0,H001,Y,NULL,Y,거주자외 출입제한,N,NULL,YES,36.491,127.3,0,0
1604812,PW011294,2,2024-12-30 19:26,2024-12-30 22:11,NULL,1596920,호려울마을7단지-2,2,세종특별자치시 남세종로 480,NULL,36.47595016,127.2867211,24시간 이용가능,PW,파워큐브,파워큐브,1833-8017,2,2.02501E+13,2.02412E+13,2.02501E+13,NULL,NULL,NULL,NULL,36,36000,H0,H001,Y,NULL,Y,거주자외 출입제한,N,NULL,YES,36.4759,127.287,0,0
1604811,PW000651,1,2024-12-30 22:41,2024-12-31 1:56,NULL,1596919,새뜸마을7단지-703동,2,세종특별자치시 새롬중앙로 89,NULL,36.484422,127.254652,24시간 이용가능,PW,파워큐브,파워큐브,1833-8017,3,2.02501E+13,2.02501E+13,2.02501E+13,2.02501E+13,NULL,NULL,NULL,36,36110,H0,H001,Y,NULL,Y,거주자외 출입제한,N,NULL,YES,36.4844,127.255,0,0
1604810,PIH00558,10,2024-12-30 23:16,2024-12-30 23:16,NULL,1596918,가재마을7단지아파트,2,세종특별자치시 달빛로 77,NULL,36.5055567,127.2484212,24시간 이용가능,PI,GS차지비,GS차지비,1544-4279,3,2.02412E+13,2.02412E+13,2.02412E+13,2.02412E+13,NULL,7,단독,36,36110,H0,H001,Y,NULL,Y,해당 시설 정책에 따라 이용이 불가 할 수 있습니다.,N,NULL,YES,36.5056,127.248,0,0
1604809,PI716248,7,2024-12-31 1:47,2024-12-31 1:47,NULL,1596917,가락마을19단지 세종파라곤 아파트,2,세종특별자치시 밝은뜰로 15,NULL,36.52211266,127.2342634,24시간 이용가능,PI,차지비,GS차지비,1600-4047,2,2.02501E+13,2.02501E+13,2.02501E+13,NULL,NULL,7,단독,36,36110,H0,H001,Y,NULL,Y,거주자외 출입제한,N,NULL,YES,36.5221,127.234,0,0
1604808,KP001510,2,2024-12-31 1:38,2024-12-31 8:25,NULL,1596916,가재마을3단지,2,세종특별자치시 종촌동 도움3로 159  ,NULL,36.50393532,127.2437461,NULL,KP,한국전력공사,한국전력,NULL,3,2.02412E+13,2.02412E+13,2.02412E+13,2.02412E+13,NULL,NULL,NULL,36,36110,H0,H001,Y,NULL,Y,시설 상황에 따라 이용이 제한될 수 있음,N,NULL,YES,36.5039,127.244,0,0
1604807,HM000903,8,2024-12-30 6:37,2024-12-30 18:58,NULL,1596915,정부세종청사 17동,2,세종특별자치시 정부2청사로 13,NULL,36.4833228,127.2618188,24시간 이용가능,HM,휴맥스이브이,휴맥스이브이,1800-3188,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,7,단독,36,36110,A0,A003,N,NULL,Y,보안구역으로 출입이 제한됨,N,NULL,YES,36.4833,127.262,0,0
1604806,HM000902,6,2024-12-30 20:47,2024-12-31 1:40,NULL,1596914,정부세종청사 16동,2,세종특별자치시 국세청로 8-14,NULL,36.48507981,127.2603063,24시간 이용가능,HM,휴맥스이브이,휴맥스이브이,1800-3188,2,2.02412E+13,2.02412E+13,2.02412E+13,NULL,NULL,7,단독,36,36110,A0,A002,Y,NULL,Y,보안구역으로 출입이 제한됨,N,NULL,YES,36.4851,127.26,0,0
1604805,EV006873,2,2024-12-31 0:28,2024-12-31 9:06,NULL,1596913,세종보람 제일풍경채도램9단지 2,2,세종특별자치시 보람로 15,NULL,36.51063124,127.2635877,24시간 이용가능,EV,에버온,에버온,1661-7766,3,2.02412E+13,2.02412E+13,2.02412E+13,2.02412E+13,NULL,7,단독,36,36110,H0,H001,Y,외부인 사용불가,Y,외부인 사용불가,N,NULL,YES,36.5106,127.264,0,0
1604804,EC000868,6,2024-12-30 19:16,2024-12-31 6:25,NULL,1596912,새샘마을9단지,2,세종특별자치시 국책연구원1로 15,NULL,36.48919994,127.30155,24시간 이용가능,EC,이지차저,이지차저,1544-3332,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,7,단독,36,36110,H0,H001,Y,관리 시설에 따른 이용 제한이 있을 수 있음,N,NULL,N,NULL,YES,36.4892,127.302,0,0
1604803,EC000868,1,2024-12-30 20:07,2024-12-30 23:31,NULL,1596911,새샘마을9단지,2,세종특별자치시 국책연구원1로 15,NULL,36.48919994,127.30155,24시간 이용가능,EC,이지차저,이지차저,1544-3332,2,2.02412E+13,2.02412E+13,2.02412E+13,NULL,NULL,7,단독,36,36110,H0,H001,Y,관리 시설에 따른 이용 제한이 있을 수 있음,N,NULL,N,NULL,YES,36.4892,127.302,0,0
1604802,CV004029,2,2024-12-30 19:28,2024-12-31 9:07,NULL,1596910,새뜸마을2단지아파트,2,세종특별자치시 새롬남로 17,NULL,36.483949,127.24858,24시간 이용가능,CV,채비,채비,1522-2573,2,2.02501E+13,2.02412E+13,2.02501E+13,NULL,NULL,7,단독,36,36110,H0,H001,Y,NULL,Y,입주민 외 이용제한 있을 수 있음,N,NULL,YES,36.4839,127.249,0,0
1604801,ME19E226,22,2024-12-31 3:57,2024-12-31 4:05,NULL,1596908,정부세종청사 소방청,4,세종특별자치시 정부2청사로 13(나성동),NULL,36.483501,127.262153,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,200,동시,36,36110,A0,A001,Y,NULL,N,NULL,N,NULL,YES,36.4835,127.262,0,0
1604800,ME18A216,12,2024-12-31 8:11,2024-12-31 8:54,NULL,1596907,반곡동 수변공원,4,세종특별자치시 반곡동 234-10 ,NULL,36.492237,127.299546,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,200,동시,36,36110,D0,D001,Y,NULL,N,NULL,N,NULL,YES,36.4922,127.3,0,0
1604799,ME18A001,5,2024-12-31 8:23,2024-12-31 9:06,NULL,1596906,은하수공원,4,"세종특별자치시 연기면 정안세종로 1527 은하수공원, 화장시설 주차장",NULL,36.532123,127.245097,24시간 이용가능,ME,환경부,환경부,031-994-6115 ,2,2.02501E+13,2.02501E+13,2.02501E+13,NULL,NULL,100,동시,36,36110,A0,A004,Y,NULL,N,NULL,N,NULL,YES,36.5321,127.245,0,0
1604798,ME18A001,1,2024-12-31 7:54,2024-12-31 8:41,NULL,1596905,은하수공원,6,"세종특별자치시 연기면 정안세종로 1527 은하수공원, 화장시설 주차장",NULL,36.532123,127.245097,24시간 이용가능,ME,환경부,환경부,031-994-6115 ,2,2.02501E+13,2.02412E+13,2.02412E+13,NULL,NULL,50,단독,36,36110,A0,A004,Y,NULL,N,NULL,N,NULL,YES,36.5321,127.245,0,0
1603554,PWE06416,42,2024-12-30 23:34,2024-12-31 8:11,NULL,1595650,가온마을12단지더하이스트아파트,2,세종특별자치시 다정남로 123,NULL,36.49287838,127.2548443,24시간 이용가능,PW,파워큐브,(주)파워큐브코리아,02-1833-8017,9,2.02501E+13,2.02412E+13,2.02501E+13,NULL,NULL,3,단독,36,36110,H0,H001,Y,NULL,Y,거주자외 출입제한,N,NULL,YES,36.4929,127.255,0,0
1603553,PW100577,1,2024-12-30 18:22,2024-12-30 20:22,NULL,1595649,호려울마을3단지,2,세종특별자치시 시청대로 78,NULL,36.47675452,127.2805847,24시간 이용가능,PW,파워큐브,파워큐브,1833-8017,3,2.02412E+13,2.02412E+13,2.02412E+13,2.02412E+13,NULL,7,단독,36,36110,H0,H001,Y,NULL,Y,거주자외 출입제한,N,NULL,YES,36.4768,127.281,0,0
1603552,PW014478,5,2024-12-30 17:39,2024-12-31 0:10,NULL,1595648,신흥E편한세상아파트입주자대표회의23,2,세종특별자치시 조치원읍 이화1로 15,NULL,36.593474,127.2850503,24시간 이용가능,PW,파워큐브,파워큐브,1833-8017,2,2.02412E+13,2.02412E+13,2.02412E+13,NULL,NULL,7,단독,36,36110,H0,H001,Y,NULL,Y,거주자외 출입제한,N,NULL,YES,36.5935,127.285,0,0
1603551,PW013730,4,2024-12-30 22:02,2024-12-31 8:10,NULL,1595647,범지기마을12단지입주자대표회의,2,세종특별자치시 보듬3로 74,NULL,36.51190049,127.2509417,24시간 이용가능,PW,파워큐브,파워큐브,1833-8017,2,2.02501E+13,2.02412E+13,2.02501E+13,NULL,NULL,7,단독,36,36110,H0,H001,Y,NULL,Y,거주자외 출입제한,N,NULL,YES,36.5119,127.251,0,0
